2015/12/10 10:25:59 INFO  - jmeter.engine.StandardJMeterEngine: Starting 3 threads for group Grupo de Hilos. 
2015/12/10 10:25:59 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/12/10 10:25:59 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 3 ramp-up 1 perThread 333.33334 delayedStart=false 
2015/12/10 10:25:59 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/12/10 10:25:59 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/12/10 10:25:59 INFO  - jmeter.threads.JMeterThread: Thread started: Grupo de Hilos 1-1 
2015/12/10 10:25:59 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/12/10 10:25:59 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/12/10 10:25:59 INFO  - jmeter.threads.JMeterThread: Thread started: Grupo de Hilos 1-2 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread started: Grupo de Hilos 1-3 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread is done: Grupo de Hilos 1-2 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread finished: Grupo de Hilos 1-2 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread is done: Grupo de Hilos 1-1 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread finished: Grupo de Hilos 1-1 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread is done: Grupo de Hilos 1-3 
2015/12/10 10:26:00 INFO  - jmeter.threads.JMeterThread: Thread finished: Grupo de Hilos 1-3 
2015/12/10 10:26:00 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/12/10 10:26:00 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
